,Index,Movie_Name,Release_Year,Certificate,Run_Time,Rating,Summary,Director,Actors,Gross_Income
0,1.,The Shawshank Redemption,1994,A,142 min,9.3,"  Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,"Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton",$28.34M
1,2.,The Godfather,1972,A,175 min,9.2,  The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,"Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan",$134.97M
2,3.,The Dark Knight,2008,UA,152 min,9.0,"  When the menace known as The Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart",$534.86M
3,4.,The Godfather: Part II,1974,No Data,202 min,9.0,"  The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall",$57.30M
4,5.,The Lord of the Rings: The Return of the King,2003,PG-13,201 min,8.9,  Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen",$377.85M
5,6.,Pulp Fiction,1994,A,154 min,8.9,"  The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson",$107.93M
6,7.,Schindler's List,1993,A,195 min,8.9,"  In German-occupied Poland during World War II, industrialist ",Oskar Schindler,"Oskar Schindler,Steven Spielberg,Liam Neeson,Ralph Fiennes",$96.90M
7,8.,12 Angry Men,1957,No Data,96 min,8.9,  A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Sidney Lumet,"Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam",$4.36M
8,9.,Fight Club,1999,A,139 min,8.8,"  An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",David Fincher,"David Fincher,Brad Pitt,Edward Norton,Meat Loaf",$37.03M
9,10.,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178 min,8.8,  A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom",$315.54M
10,11.,Forrest Gump,1994,PG-13,142 min,8.8,"  The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.",Robert Zemeckis,"Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise",$330.25M
11,12.,Seppuku,1962,No Data,133 min,8.8,  An elder ronin samurai arrives at a feudal lord's home and requests an honorable place to commit suicide. But when the ronin inquires about a younger samurai who arrived before him things take an unexpected turn.,Masaki Kobayashi,"Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita",No Data
12,13.,The Lord of the Rings: The Two Towers,2002,PG,179 min,8.7,"  While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen",$342.55M
13,14.,Goodfellas,1990,A,146 min,8.7,"  The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,"Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci",$46.84M
14,15.,One Flew Over the Cuckoo's Nest,1975,No Data,133 min,8.7,  A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.,Milos Forman,"Milos Forman,Jack Nicholson,Louise Fletcher,Will Sampson",$112.00M
15,16.,Interstellar,2014,UA,169 min,8.6,  A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,"Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain",$188.02M
16,17.,Cidade de Deus,2002,R,130 min,8.6,"  In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles,"Fernando Meirelles,Kátia Lund,Alexandre Rodrigues,Leandro Firmino",$7.56M
17,18.,Saving Private Ryan,1998,A,169 min,8.6,"  Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,"Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore",$216.54M
18,19.,The Green Mile,1999,A,189 min,8.6,"  The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,"Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse",$136.80M
19,20.,La vita è bella,1997,PG-13,116 min,8.6,"  When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,"Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",$57.60M
20,21.,Se7en,1995,R,127 min,8.6,"  Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey",$100.13M
21,22.,The Silence of the Lambs,1991,A,118 min,8.6,"  A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",$130.74M
22,23.,Shichinin no samurai,1954,No Data,207 min,8.6,  A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa,"Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima",$0.27M
23,24.,It's a Wonderful Life,1946,PG,130 min,8.6,  An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"Frank Capra,James Stewart,Donna Reed,Lionel Barrymore",No Data
24,25.,Capharnaüm,2018,R,126 min,8.5,"  While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,"Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole",$1.66M
25,26.,Whiplash,2014,A,106 min,8.5,  A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,"Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist",$13.09M
26,27.,The Intouchables,2011,UA,112 min,8.5,"  After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,"Olivier Nakache,Éric Toledano,François Cluzet,Omar Sy",$13.18M
27,28.,The Prestige,2006,PG-13,130 min,8.5,"  After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,"Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson",$53.09M
28,29.,The Departed,2006,A,151 min,8.5,  An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson",$132.38M
29,30.,The Pianist,2002,R,150 min,8.5,  A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,"Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay",$32.57M
30,31.,Gladiator,2000,R,155 min,8.5,  A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen",$187.71M
31,32.,American History X,1998,A,119 min,8.5,  A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye,"Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo",$6.72M
32,33.,Léon,1994,A,110 min,8.5,"  Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.",Luc Besson,"Luc Besson,Jean Reno,Gary Oldman,Natalie Portman",$19.50M
33,34.,The Lion King,1994,U,88 min,8.5,"  A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.",Roger Allers,"Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons",$422.78M
34,35.,Nuovo Cinema Paradiso,1988,R,155 min,8.5,  A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,"Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili",$11.99M
35,36.,Hotaru no haka,1988,No Data,89 min,8.5,  A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,"Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",No Data
36,37.,Casablanca,1942,PG,102 min,8.5,  A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,Michael Curtiz,"Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid",$1.02M
37,38.,The Great Dictator,1940,No Data,125 min,8.5,  Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,"Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie",No Data
38,39.,Modern Times,1936,No Data,87 min,8.5,  The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,"Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman",$0.16M
39,40.,City Lights,1931,G,87 min,8.5,"  With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,"Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee",$0.02M
40,41.,Kimi no na wa.,2016,PG,106 min,8.4,"  Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,"Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita",$5.02M
41,42.,Dangal,2016,U,161 min,8.4,  Former wrestler ,Mahavir Singh Phogat,"Mahavir Singh Phogat,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar",$12.39M
42,43.,Django Unchained,2012,A,165 min,8.4,"  With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Quentin Tarantino,"Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",$162.81M
